YYMM,LOT,LOT7_prod,ACTUAL_LOT_prod,WAFER_ID_prod,LAYER_prod,WAFER_KEY_prod,INSPECTION_TIME_prod,DEFECT_ID_prod,CLASS_prod,FINEBIN_prod,WAFER_X_MM_prod,WAFER_Y_MM_prod,IMAGE_COUNT_prod,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,SUM_NCDD,STATUS,SRCIP,CCMR2,ICCR2,CV,GF,TS,PILOT_STATUS,BEEP_NCDD,SMP_NCDD,SIZE_X_prod,SIZE_Y_prod,SIZE_D_prod,AREA_prod,MANUAL_OPTICAL_CLASS_prod,INSPECT_TIME_DT,INSPECT_KEY_prod,_KEY,WAFER_KEY_db,INSPECTION_TIME_db,WAFER_ID_db,LOT7_db,ACTUAL_LOT_db,LAYER_db,DEFECT_ID_db,CLASS_db,FINEBIN_db,WAFER_X_MM_db,WAFER_Y_MM_db,IMAGE_COUNT_db,SIZE_X_db,SIZE_Y_db,SIZE_D_db,AREA_db,MANUAL_OPTICAL_CLASS_db,INSPECT_KEY_db,_merge,mismatch_type,LOT_GROUP,WAFER_GROUP,LAYER_GROUP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|34,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,34,NVD_FALSE,NVD_FALSE,-28.502364,18.091759,4,180,360,360,3121,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|340,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,340,NVD_FALSE,NVD_FALSE,85.690053,-70.122947,4,360,270,360,4219,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|343,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,343,DOME,DOME,-117.80651,-71.881442,4,270,180,270,1074,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|355,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,355,NVD_FALSE,NVD_FALSE,-61.378132,-75.185564,4,180,360,360,3161,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|356,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,356,DOME,DOME,-117.18747,-75.019557,4,720,809,810,8088,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|357,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,357,NVD_FALSE,NVD_FALSE,-93.874944,-75.096404,4,270,270,270,3468,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|358,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,358,NVD_FALSE,NVD_FALSE,-34.784444,-76.301393,4,180,270,270,2330,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|359,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,359,DOME,DOME,87.534019,-101.050989,4,720,720,720,8753,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|36,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,36,NVD_FALSE,NVD_FALSE,108.390494,18.047185,4,180,180,180,2384,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|360,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,360,UNCLASSIFIED,UNCLASSIFIED,87.534257,-101.0347,0,809,720,810,8015,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
