YYMM,LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD,ORIGINAL_ROW_NUMBER,PILOT,_INCLUDE
2604,D6021040,D602104,D6021040,KJ7KK021WFB6,8M6CL,7907584,2026/04/15 11:49:42 AM,50,SMALL_PARTICLE,SMALL_PARTICLE,0.27953,-26.997121,4,AME423_PM4,P_78_GABON_R1,2026/04/14 10:03:29 PM,2026/04/15 11:49:42 AM,BPD446,ICCR2+CV+GF,0.017921,BSL,0.003584,0.014337,1479,ICCR2,1
2604,D5501680,D550168,D5501680,A24QC109SLD3,8M5CL,7774253,2026/04/18 1:37:08 PM,37,SMALL_PARTICLE,SMALL_PARTICLE,6.440581,-14.775616,5,AME425_PM4,P_78_GABON_B10_R4,2026/04/18 8:47:46 AM,2026/04/18 1:37:08 PM,BPD436,SRCIP,0.018459,BSL,0,0.018459,1688,SRCIP,1
2604,D5501680,D550168,D5501680,A24QC109SLD3,8M5CL,7774253,2026/04/18 1:37:08 PM,49,SMALL_PARTICLE,SMALL_PARTICLE,11.193108,-12.750697,5,AME425_PM4,P_78_GABON_B10_R4,2026/04/18 8:47:46 AM,2026/04/18 1:37:08 PM,BPD436,SRCIP,0.018459,BSL,0,0.018459,1688,SRCIP,1
2604,D5501680,D550168,D5501680,A24QC102SLD1,8M5CL,7774057,2026/04/18 1:37:08 PM,714,SMALL_PARTICLE,SMALL_PARTICLE,17.912458,-0.740513,5,AME425_PM4,P_78_GABON_B10_R4,2026/04/18 7:57:01 AM,2026/04/18 1:37:08 PM,BPD436,SRCIP,0.010978,BSL,0,0.010978,1690,SRCIP,1
2604,D5501680,D550168,D5501680,A24QC102SLD1,8M5CL,7774057,2026/04/18 1:37:08 PM,840,SMALL_PARTICLE,SMALL_PARTICLE,-5.750168,3.676009,5,AME425_PM4,P_78_GABON_B10_R4,2026/04/18 7:57:01 AM,2026/04/18 1:37:08 PM,BPD436,SRCIP,0.010978,BSL,0,0.010978,1690,SRCIP,1
2604,D5439720,D543972,D5439720,MCEMQ062WAE7,8M6CL,7551573,2026/04/22 12:42:49 PM,17418,SMALL_PARTICLE,SMALL_PARTICLE,-12.042425,12.916574,4,AME423_PM3,S_78_RR_WF83_W1,2026/04/22 9:09:36 AM,2026/04/22 12:42:49 PM,BPD454,ICCR2+CV+GF,0.003553,BSL,0,0.003553,1603,ICCR2,1
2604,D6026410,D602641,D6026410,GT7PS301JKF4,8M6CL,7912570,2026/04/24 1:23:37 AM,1,SMALL_PARTICLE,SMALL_PARTICLE,35.31821,-9.764027,4,AME419_PM4,P_78_ROADRUNNER_R1,2026/04/24 12:26:21 AM,2026/04/24 1:23:37 AM,BPD446,ICCR2+CV+GF,0.003584,BSL,0,0.003584,1555,ICCR2,1
2604,D6021040,D602104,D6021040,KJ7KK004WFF4,8M6CL,7907507,2026/04/15 12:38:04 AM,17,SMALL_PARTICLE,SMALL_PARTICLE,7.014024,14.124682,4,AME423_PM3,P_78_GABON_R1,2026/04/14 9:56:21 PM,2026/04/15 12:38:04 AM,BPD454,ICCR2+CV+GF,0.010658,BSL,0,0.010658,1480,ICCR2,1
2604,D6021040,D602104,D6021040,KJ7KK021WFB6,8M6CL,7907584,2026/04/15 11:49:42 AM,50,SMALL_PARTICLE,SMALL_PARTICLE,0.27953,-26.997121,4,AME423_PM4,P_78_GABON_R1,2026/04/14 10:03:29 PM,2026/04/15 11:49:42 AM,BPD446,ICCR2+CV+GF,0.017921,BSL,0.003584,0.014337,1479,ICCR2,1
2604,D5501680,D550168,D5501680,A24QC109SLD3,8M5CL,7774253,2026/04/18 1:37:08 PM,37,SMALL_PARTICLE,SMALL_PARTICLE,6.440581,-14.775616,5,AME425_PM4,P_78_GABON_B10_R4,2026/04/18 8:47:46 AM,2026/04/18 1:37:08 PM,BPD436,SRCIP,0.018459,BSL,0,0.018459,1688,SRCIP,1
2604,D5501680,D550168,D5501680,A24QC109SLD3,8M5CL,7774253,2026/04/18 1:37:08 PM,49,SMALL_PARTICLE,SMALL_PARTICLE,11.193108,-12.750697,5,AME425_PM4,P_78_GABON_B10_R4,2026/04/18 8:47:46 AM,2026/04/18 1:37:08 PM,BPD436,SRCIP,0.018459,BSL,0,0.018459,1688,SRCIP,1
2604,D5501680,D550168,D5501680,A24QC102SLD1,8M5CL,7774057,2026/04/18 1:37:08 PM,714,SMALL_PARTICLE,SMALL_PARTICLE,17.912458,-0.740513,5,AME425_PM4,P_78_GABON_B10_R4,2026/04/18 7:57:01 AM,2026/04/18 1:37:08 PM,BPD436,SRCIP,0.010978,BSL,0,0.010978,1690,SRCIP,1
2604,D5501680,D550168,D5501680,A24QC102SLD1,8M5CL,7774057,2026/04/18 1:37:08 PM,840,SMALL_PARTICLE,SMALL_PARTICLE,-5.750168,3.676009,5,AME425_PM4,P_78_GABON_B10_R4,2026/04/18 7:57:01 AM,2026/04/18 1:37:08 PM,BPD436,SRCIP,0.010978,BSL,0,0.010978,1690,SRCIP,1
2604,D5439720,D543972,D5439720,MCEMQ062WAE7,8M6CL,7551573,2026/04/22 12:42:49 PM,17418,SMALL_PARTICLE,SMALL_PARTICLE,-12.042425,12.916574,4,AME423_PM3,S_78_RR_WF83_W1,2026/04/22 9:09:36 AM,2026/04/22 12:42:49 PM,BPD454,ICCR2+CV+GF,0.003553,BSL,0,0.003553,1603,ICCR2,1
2604,D6026410,D602641,D6026410,GT7PS301JKF4,8M6CL,7912570,2026/04/24 1:23:37 AM,1,SMALL_PARTICLE,SMALL_PARTICLE,35.31821,-9.764027,4,AME419_PM4,P_78_ROADRUNNER_R1,2026/04/24 12:26:21 AM,2026/04/24 1:23:37 AM,BPD446,ICCR2+CV+GF,0.003584,BSL,0,0.003584,1555,ICCR2,1
2604,D6053210,D605321,D6053210,KJ9HF568WFB1,8M6CL,8008235,2026/04/25 9:35:39 PM,29,SMALL_PARTICLE,SMALL_PARTICLE,37.928805,12.633146,4,AME401_PM1,P_78_GABON_R1,2026/04/25 8:23:00 PM,2026/04/25 9:35:39 PM,BPD448,ICCR2+CV+GF,0.003553,BSL,0,0.003553,1527,ICCR2,1
2604,D6053180,D605318,D6053180,GS8QK426JKH0,8M5CL,8008084,2026/04/26 3:26:10 PM,1008,SMALL_PARTICLE,SMALL_PARTICLE,10.407731,12.172211,5,AME411_PM4,P_78_GABON_B10_R3,2026/04/26 7:28:15 AM,2026/04/26 3:26:10 PM,BPD446,ICCR2+CV+GF,0.007319,BSL,0,0.007319,1515,ICCR2,1
