YYMM,LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,Column 14,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD,ORIGINAL_ROW_NUMBER,PILOT,_INCLUDE
2601,D5344830,D534483,D5344830,GQ8TY413JKD4,8M6CL,7214941,2026/01/05 6:25:20 AM,168,SMALL_PARTICLE,SMALL_PARTICLE,122.221452,-60.237328,18566.619014,4,AME427_PM2,P_78_GABON,2026/01/05 5:14:49 AM,2026/01/05 6:25:20 AM,BPD450,POR+CV+GF,0.007168,BSL,0,0.007168,2319,POR,1
2604,D5512400,D551240,D5512400,GT5JE508JKG4,8M6CL,7804964,2026/04/10 12:30:54 PM,23,SMALL_PARTICLE,SMALL_PARTICLE,106.127585,-81.849832,17962.459296,4,AME421_PM6,P_78_GABON_R1,2026/04/10 10:35:25 AM,2026/04/10 12:30:54 PM,BPD446,SRCIP,0.003553,BSL,0,0.003553,45,SRCIP,1
2603,D5409890,D540989,D5409890,GQ9FQ332JKC7,8M6CL,7433701,2026/03/01 8:38:23 PM,316,SMALL_PARTICLE,SMALL_PARTICLE,124.149921,63.172434,19403.959302,4,AME417_PM6,P_78_GABON_R1,2026/03/01 2:35:17 PM,2026/03/01 8:38:23 PM,BPD448,ICCR2+CV+GF,0.007105,BSL,0,0.007105,943,ICCR2,1
2603,D5435400,D543540,D5435400,KJ40T256WFD1,8M6CL,7524996,2026/03/07 6:03:04 AM,2740,SMALL_PARTICLE,SMALL_PARTICLE,-28.297943,-132.375252,18323.98092,4,AME417_PM4,P_78_GABON_R1,2026/03/07 3:53:36 AM,2026/03/07 6:03:04 AM,BPD454,CCMR2+ICCR2+CV+GF,0.017763,BSL,0.007105,0.010658,833,CCMR2,1
2601,D5379310,D537931,D5379310,MCE1N017WAH0,8M6CL,7320655,2026/01/04 8:54:23 AM,88,SMALL_PARTICLE,SMALL_PARTICLE,-85.265294,-104.651029,18222.008232,4,AME417_PM5,P_78_GABON_R1,2026/01/04 7:27:39 AM,2026/01/04 8:54:23 AM,BPD444,ICCR2+CV+GF,0.011265,BSL,0,0.011265,2351,ICCR2,1
2603,D5491240,D549124,D5491240,GU6EW669JDF5,8M5CL,7744959,2026/03/22 12:53:33 AM,387,SMALL_PARTICLE,SMALL_PARTICLE,110.509024,76.185232,18016.43396,5,AME409_PM4,P_78_GABON_B10_R3,2026/03/21 11:09:58 PM,2026/03/22 12:53:33 AM,BPD454,ICCR2+CV+GF,0.003692,BSL,0,0.003692,543,ICCR2,1
2601,D542936A,D542936,D542936A,KJ4AD387WFG0,8M5CL,7614904,2026/01/13 2:10:17 AM,5742,SMALL_PARTICLE,SMALL_PARTICLE,70.540775,-119.299087,19208.273097,5,AME417_PM6,P_78_GABON_B10_R3,2026/01/12 3:21:17 PM,2026/01/13 2:10:17 AM,BPD444,ICCR2+CV+GF,0.016059,BSL,0.005353,0.010706,2224,ICCR2,1
2601,D5344700,D534470,D5344700,GQ9FR255JKD6,8M6CL,7210318,2026/01/02 2:12:26 PM,341,SMALL_PARTICLE,SMALL_PARTICLE,-24.268706,-134.402093,18652.892694,4,AME427_PM6,P_78_GABON,2026/01/02 12:04:24 PM,2026/01/02 2:12:26 PM,BPD448,POR+CV+GF,0.014436,BSL,0.003609,0.010827,2390,POR,1
2512,D5344800,D534480,D5344800,GQ4SC653JKB0,8M5CL,7212242,2025/12/14 3:53:05 PM,3076,SMALL_PARTICLE,SMALL_PARTICLE,-17.54281,-134.12649,18297.665502,5,AME401_PM2,P_78_GABON_B10_R3,2025/12/14 2:06:58 PM,2025/12/14 3:53:05 PM,BPD458,ICCR2+CV+GF,0.014964,BSL,0,0.014964,2770,ICCR2,1
2601,D5380320,D538032,D5380320,A20H5076SLF3,8M6CL,7337173,2026/01/15 9:14:55 AM,58,SMALL_PARTICLE,SMALL_PARTICLE,14.731696,134.851922,18402.063734,4,AME425_PM5,P_78_GABON,2026/01/15 7:48:47 AM,2026/01/15 9:14:55 AM,BPD432,POR+CV+GF,0.007105,BSL,0,0.007105,2194,POR,1
2603,D531EP40,D531EP4,D531EP40,KHYXL373WFA0,8M5CL,7137360,2026/03/04 2:32:26 PM,14141,SMALL_PARTICLE,SMALL_PARTICLE,-117.284247,-65.217932,18008.973249,5,AME403_PM5,P_78_GABON_B10_R3,2026/03/04 1:35:24 PM,2026/03/04 2:32:26 PM,BPD454,ICCR2+CV+GF,0.019773,BSL,0.006591,0.013182,872,ICCR2,1
2604,D5485340U,D548534,D5485340U,KJ6GT622WFF0,8M6CL,8327120,2026/04/03 6:20:29 AM,100000,SMALL_PARTICLE,SMALL_PARTICLE,-109.681516,-76.734095,17918.156288,4,AME403_PM3,P_78_GABON_R1,2026/04/03 5:15:28 AM,2026/04/03 6:20:29 AM,BPD436,ICCR2+CV,0.01421,BSL,0.007105,0.007105,265,ICCR2,1
2602,D5435340,D543534,D5435340,KJ41L007WFB3,8M6CL,7524315,2026/02/06 11:37:12 PM,357,SMALL_PARTICLE,SMALL_PARTICLE,40.937285,-130.846437,18796.651379,4,AME419_PM6,P_78_GABON_R1,2026/02/06 9:38:43 PM,2026/02/06 11:37:12 PM,BPD450,ICCR2+CV+GF,0.003584,BSL,0,0.003584,1784,ICCR2,1
2604,D5485360,D548536,D5485360,GT4TS126JKH0,8M5CL,7712748,2026/04/04 7:31:39 AM,903,SMALL_PARTICLE,SMALL_PARTICLE,87.936333,104.589396,18671.740417,5,AME419_PM4,P_78_GABON_B10_R3,2026/04/04 6:11:39 AM,2026/04/04 7:31:39 AM,BPD450,ICCR2+CV+GF,0.007319,BSL,0,0.007319,226,ICCR2,1
2512,D5295710,D529571,D5295710,GP6ZP326JKC6,8M6CL,7050899,2025/12/03 2:06:57 AM,131743,SMALL_PARTICLE,SMALL_PARTICLE,-143.731887,5.221143,20686.115675,4,AME403_PM6,P_78_GABON,2025/12/02 11:46:59 PM,2025/12/03 2:06:57 AM,BPD448,POR+CV,0.007105,BSL,0,0.007105,3023,POR,1
2512,D5241410,D524141,D5241410,KHT1K346WFF2,8M6CL,6851132,2025/12/11 7:13:35 PM,591,SMALL_PARTICLE,SMALL_PARTICLE,37.37421,-129.636635,18202.488707,4,AME411_PM1,P_78_GABON_R1,2025/12/11 4:10:34 PM,2025/12/11 7:13:35 PM,BPD450,SRCIP,0.017918,BSL,0.003584,0.014334,2832,SRCIP,1
2602,D525EP30,D525EP3,D525EP30,KHTWH525WFH2,8M5CL,6915398,2026/02/18 2:06:48 PM,11575,SMALL_PARTICLE,SMALL_PARTICLE,6.431962,138.193124,19138.709656,9,AME419_PM4,P_78_GABON_B10_R3,2026/02/18 12:06:14 PM,2026/02/18 2:06:48 PM,BPD448,ICCR2+CV+GF,0.015867,BSL,0,0.015867,1200,ICCR2,1
2601,D5189160,D518916,D5189160,GJ9JQ153JKG0,8M6CL,6653268,2026/01/07 3:23:58 PM,196,SMALL_PARTICLE,SMALL_PARTICLE,127.837434,-52.932303,19144.238233,4,AME403_PM6,P_78_GABON,2026/01/07 2:12:02 PM,2026/01/07 3:23:58 PM,BPD442,POR+CV,0.018045,BSL,0.010827,0.007218,2302,POR,1
2603,D5491030,D549103,D5491030,GT6QX576JKA4,8M6CL,7740444,2026/03/08 6:40:20 AM,149,SMALL_PARTICLE,SMALL_PARTICLE,105.465625,-87.16108,18720.051923,4,AME403_PM5,P_78_GABON_R1,2026/03/08 4:32:22 AM,2026/03/08 6:40:20 AM,BPD450,ICCR2+CV+GF,0.003553,BSL,0,0.003553,813,ICCR2,1
2601,D5380500,D538050,D5380500,MCCYF884WAG5,8M6CL,7341867,2026/01/08 3:43:23 PM,107,SMALL_PARTICLE,SMALL_PARTICLE,-30.646213,133.216285,18685.76896,4,AME409_PM4,P_78_GABON_R1,2026/01/08 11:26:07 AM,2026/01/08 3:43:23 PM,BPD450,ICCR2+CV+GF,0.010658,BSL,0,0.010658,2287,ICCR2,1
