PROCESS,FAB,ALIAS,OPERATION,DEFINITION_ID,DEFINITION_NAME,TREATMENT_TYPE,BACKLOAD_START_DATE,VERSION,IS_LATEST,IS_ACTIVE,FIRST_SEEN_RUN_DATE,LAST_SEEN_RUN_DATE,STATUS,RESOLVED_ALIAS,PROCESS_FAMILY
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:R3HRVA_LEOCB_1278:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:TNPPFREEKOH:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:TR_PLUS_CB:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,PROCESS:CNS4:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,PROCESS:DELTRIM:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,PROCESS:KMX8:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,PROCESS:LEOCB_270CNS_EXTRA_DTD1:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M6_HM_CLN,W_8M6_HM_CLN,,EQUIP:HRVA3_LEOCB:W_8M6_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M6_HM_CLN,
1278,D1D,W_8M6_HM_CLN,W_8M6_HM_CLN,,EQUIP:HRVA_LEOCB_1278:W_8M6_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M6_HM_CLN,
1278,D1D,W_8M6_HM_CLN,W_8M6_HM_CLN,,EQUIP:HRVA_LEOCB_1278_P2:W_8M6_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M6_HM_CLN,
1278,D1D,W_8M6_HM_CLN,W_8M6_HM_CLN,,EQUIP:KOH_TNPPFREE_DRUM:W_8M6_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M6_HM_CLN,
